Recipe_Name,Ingredients,Label,Category,Recipe Steps,Nutrition Facts
Palak Paneer,"tomato, peas, cauliflower, onion, mushroom",Veg,"brunch, breakfast","1. Gather all ingredients: tomato, peas, cauliflower, onion, mushroom. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Vada Pav,"cheese, onion, beetroot, peas",Veg,"side dish, brunch, dinner","1. Gather all ingredients: cheese, onion, beetroot, peas. 2. Prepare the ingredients for vada pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Fish Curry,"bacon, beef, cauliflower, potato, paneer",Non-Veg,"main course, appetizer","1. Gather all ingredients: bacon, beef, cauliflower, potato, paneer. 2. Prepare the ingredients for fish curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Fish Curry,"beef, spinach, rice",Non-Veg,side dish,"1. Gather all ingredients: beef, spinach, rice. 2. Prepare the ingredients for fish curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Mix Veg Curry,"peas, capsicum, cheese",Veg,"brunch, snack, dinner","1. Gather all ingredients: peas, capsicum, cheese. 2. Prepare the ingredients for mix veg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Besan Chilla,"rice, carrot, beans, peas, lentils",Veg,"breakfast, snack, dinner","1. Gather all ingredients: rice, carrot, beans, peas, lentils. 2. Prepare the ingredients for besan chilla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Korma,"egg, salami, cheese, potato",Non-Veg,"side dish, breakfast","1. Gather all ingredients: egg, salami, cheese, potato. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Tandoori Chicken,"fish, anchovy, spinach, cauliflower",Non-Veg,"dinner, brunch","1. Gather all ingredients: fish, anchovy, spinach, cauliflower. 2. Prepare the ingredients for tandoori chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chana Masala,"spinach, lentils, tomato",Veg,"side dish, dinner, brunch","1. Gather all ingredients: spinach, lentils, tomato. 2. Prepare the ingredients for chana masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Roti Sabzi,"paneer, lentils, onion, cauliflower",Veg,"supper, lunch","1. Gather all ingredients: paneer, lentils, onion, cauliflower. 2. Prepare the ingredients for roti sabzi (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Dal Tadka,"paneer, spinach, potato",Veg,brunch,"1. Gather all ingredients: paneer, spinach, potato. 2. Prepare the ingredients for dal tadka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Korma,"beef, peas, beetroot",Non-Veg,supper,"1. Gather all ingredients: beef, peas, beetroot. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Samosa,"rice, lentils, paneer, beetroot, mushroom",Veg,"breakfast, lunch, brunch","1. Gather all ingredients: rice, lentils, paneer, beetroot, mushroom. 2. Prepare the ingredients for samosa (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Tikka,"salami, capsicum, mushroom",Non-Veg,main course,"1. Gather all ingredients: salami, capsicum, mushroom. 2. Prepare the ingredients for chicken tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Egg Curry,"anchovy, cauliflower, rice",Non-Veg,main course,"1. Gather all ingredients: anchovy, cauliflower, rice. 2. Prepare the ingredients for egg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken 65,"egg, fish, lentils, peas, mushroom",Non-Veg,breakfast,"1. Gather all ingredients: egg, fish, lentils, peas, mushroom. 2. Prepare the ingredients for chicken 65 (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Idli Sambar,"lentils, mushroom, tomato, peas",Veg,"breakfast, snack","1. Gather all ingredients: lentils, mushroom, tomato, peas. 2. Prepare the ingredients for idli sambar (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Stuffed Capsicum,"carrot, broccoli, potato",Veg,"brunch, supper","1. Gather all ingredients: carrot, broccoli, potato. 2. Prepare the ingredients for stuffed capsicum (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken 65,"anchovy, tomato, peas, corn",Non-Veg,"snack, lunch, appetizer","1. Gather all ingredients: anchovy, tomato, peas, corn. 2. Prepare the ingredients for chicken 65 (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Masala Burger,"chicken, bun, onion, mayo, cheese",Non-Veg,snack,"1. Gather all ingredients: chicken, bun, onion, mayo, cheese. 2. Prepare the ingredients for chicken masala burger (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Fish Fry,"turkey, onion, paneer, beans",Non-Veg,"dinner, main course","1. Gather all ingredients: turkey, onion, paneer, beans. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Curry,"mutton, fish, paneer, lentils",Non-Veg,"dinner, side dish, appetizer","1. Gather all ingredients: mutton, fish, paneer, lentils. 2. Prepare the ingredients for chicken curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chana Masala,"lentils, mushroom, onion, potato",Veg,"brunch, appetizer, dinner","1. Gather all ingredients: lentils, mushroom, onion, potato. 2. Prepare the ingredients for chana masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Paneer Tikka,"potato, spinach, corn, onion",Veg,main course,"1. Gather all ingredients: potato, spinach, corn, onion. 2. Prepare the ingredients for paneer tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Prawn Masala,"salami, chicken, carrot, beetroot",Non-Veg,dinner,"1. Gather all ingredients: salami, chicken, carrot, beetroot. 2. Prepare the ingredients for prawn masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Kathi Roll,"anchovy, tomato, capsicum",Non-Veg,"dinner, lunch","1. Gather all ingredients: anchovy, tomato, capsicum. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Korma,"bacon, anchovy, potato, beetroot",Non-Veg,"side dish, supper, main course","1. Gather all ingredients: bacon, anchovy, potato, beetroot. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Kachori,"spinach, onion, tomato, capsicum",Veg,dinner,"1. Gather all ingredients: spinach, onion, tomato, capsicum. 2. Prepare the ingredients for kachori (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chole Bhature,"paneer, peas, mushroom",Veg,breakfast,"1. Gather all ingredients: paneer, peas, mushroom. 2. Prepare the ingredients for chole bhature (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Paneer Tikka,"spinach, cauliflower, mushroom",Veg,"snack, side dish","1. Gather all ingredients: spinach, cauliflower, mushroom. 2. Prepare the ingredients for paneer tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Methi Paratha,"beetroot, potato, spinach",Veg,"appetizer, snack","1. Gather all ingredients: beetroot, potato, spinach. 2. Prepare the ingredients for methi paratha (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Roti Sabzi,"carrot, beans, capsicum",Veg,"supper, breakfast","1. Gather all ingredients: carrot, beans, capsicum. 2. Prepare the ingredients for roti sabzi (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
